lemma	pos	corpus_frequency	spoken_frequency	written_frequency	literature	meb	saha	tubitak	video	class	subclass	num_docs	mps	cd	pmw	zipf	length	sc
yasamak	VERB	15	1	14	12	1	0	1	1	Emotions & Mental Processes	general rules	7	10	0.002269779507	1.823174443	3.288856948	7	3
yasemin	NOUN	142	26	116	21	36	2	59	24	Nature & Living Things	plants	81	6	0.02626459144	17.25938473	4.240073003	7	3
Yasemin	PROPN	92	14	78	27	19	0	32	14	Other	other	50	8	0.01621271077	11.18213659	4.053219914	7	3
Yasin	PROPN	68	4	64	15	28	1	21	3	Other	other	37	4	0.01199740597	8.265057476	3.923586056	5	2
yaslamak	VERB	109	5	104	87	4	0	13	5	Home & Domestic Life	home	81	24	0.02626459144	13.24840095	4.126129651	8	3
yaslanmak	VERB	89	9	80	73	1	0	6	9	Other	other	69	23	0.02237354086	10.8175017	4.038979475	9	3
yaslı	ADJ	6	0	6	5	0	0	1	0	Emotions & Mental Processes	emotions	6	1	0.001945525292	0.7292697773	2.929835005	5	2
yasmak	VERB	11	5	6	2	3	0	1	5	Other	other	10	7	0.003242542153	1.336994592	3.163918211	6	2
yassı	ADJ	91	1	90	18	3	0	69	1	Earth, Geography & Natural Phenomena	geographical features	64	4	0.02075226978	11.06059162	4.048524793	5	2
yassıca	ADJ	1	0	1	0	1	0	0	0	Personality, Values & Behavior	appearance	1	1	0.0003242542153	0.1215449629	2.385766961	7	3
yassılaşmak	VERB	2	1	1	0	0	0	1	1	Personality, Values & Behavior	appearance	2	2	0.0006485084306	0.2430899258	2.56185822	11	4
yassılaştırmak	VERB	2	0	2	0	0	0	2	0	Personality, Values & Behavior	appearance	2	1	0.0006485084306	0.2430899258	2.56185822	14	5
