word	imagery	concreteness	syllable_count	char_count	tclex_frequency	tclex_normalized	clc_frequency	clc_normalized	tekcan_frequency	overall_aoa_mean	overall_aoa_sd	child_aoa_mean	child_aoa_sd
korku	3.7	1.4	2	5	1548	188.41	2391	544.88	278	2.38	1.53	1.95	0.77
korkunç	3.48	2.3	2	7	821	99.93	633	144.25	91	2.25	1.31	1.96	0.83
koyu	4.01	3.91	2	4	624	75.95	427	97.31	65	2.19	1.22	1.92	0.82
kral	5.51	5.33	2	4	1620	197.18	1538	350.49	78	2.27	1.46	1.8	0.77
krem	5.79	6.61	1	4	207	25.19	81	18.63	71	2.29	1.41	1.97	0.79
kulak	6.6	6.75	2	5	3920	477.12	2797	637.4	311	1.53	0.66	1.45	0.58
külhan	2.45	3.49	2	6	0	0	6	1.37	2	1.81	0.93	1.71	0.72
külot	6.36	6.89	2	5	9	1.1	13	2.96	11	2.73	1.72	2.06	0.89
kültür	3.56	2.41	2	6	1459	177.58	251	57.2	485	1.45	0.6	1.39	0.54
kum	6.31	6.62	1	3	1553	189.02	558	127.16	75	3.82	2.05	2.6	1.09
kural	3.67	2.9	2	5	3894	473.95	474	108.02	308	1.87	1.03	1.62	0.63
kuş	6.25	6.81	1	3	6773	824.36	4601	1048.51	129	2.8	1.68	2.17	0.84
kuşku	2.68	1.58	2	5	54	6.57	895	203.96	82	4.33	2.23	2.85	1.52
kutu	6.27	6.84	2	4	6149	748.42	1367	311.52	126	1.63	0.78	1.59	0.63
kuyumcu	6.02	6.36	3	7	70	8.52	67	15.27	15	5.04	2.2	3.32	1.62
kuzgun	3.37	5.65	2	6	180	21.91	20	4.56	3	1.65	0.96	1.5	0.55
kuzu	6.54	6.79	2	4	565	68.77	576	131.26	57	3.82	1.99	2.58	1.03
lamba	6.36	6.84	2	5	1023	124.51	663	151.09	83	1.84	0.87	1.74	0.69
lehçe	3.27	3.91	2	5	4	0.49	7	1.6	1	5.17	2.07	3.65	1.61
lezzet	4.03	4.18	2	6	212	25.8	190	43.3	95	2	1.09	1.72	0.72
liman	6.03	6.52	2	5	589	71.69	188	42.84	76	3.18	1.84	2.54	1.13
limon	6.57	6.93	2	5	712	86.66	104	23.7	60	1.72	0.89	1.57	0.58
lirik	2.54	2.22	2	5	1	0.12	3	0.68	2	5.46	1.94	4.36	1.76
