lemma	pos	frequency	source	class	subclass
kaş yapayım derken göz çıkartmak	VERB	1	literature	Education & Language	idioms
kaşıkla yedirip sapıyla gözünü çıkartmak	VERB	1	literature	Education & Language	idioms
kavga kopmak	VERB	1	literature	Violence & Conflict	violence
kavil kesmek	VERB	1	tubitak	Education & Language	idioms
kaymak bağlamak	VERB	1	tubitak	Education & Language	idioms
kaynanalık taslamak	VERB	1	literature	Education & Language	idioms
kazdığı çukura kendisi düşmek	VERB	1	video	Education & Language	idioms
kazı koz anlamak	VERB	1	tubitak	Education & Language	idioms
keçe külah etmek	VERB	1	tubitak	Education & Language	idioms
keçe külah olmak	VERB	1	tubitak	Education & Language	idioms
keçesini sudan çıkarmak	VERB	1	tubitak	Education & Language	idioms
keçeyi suya atmak	VERB	1	video	Education & Language	idioms
keder çekmek	VERB	1	literature	Emotions & Mental Processes	emotions
kedi ciğere bakar gibi bakmak	VERB	1	literature	Education & Language	idioms
kedi ile köpek gibi	NA	1	tubitak	Education & Language	idioms
kefenin cebi yok	NA	1	literature	Education & Language	idioms
kefil göstermek	VERB	1	meb	Education & Language	idioms
kelek yapmak	VERB	1	literature	Education & Language	idioms
kelepçe vurmak	VERB	1	video	Education & Language	idioms
kelepire konmak	VERB	1	video	Education & Language	idioms
keleş keleş sırıtmak	VERB	1	literature	Education & Language	idioms
kelle götürmek	VERB	1	video	Education & Language	idioms
kelle koşturmak	VERB	1	literature	Education & Language	idioms
kelleyi vermek	VERB	1	literature	Education & Language	idioms
kem gözle bakmak	VERB	1	meb	Education & Language	idioms
kemal bulmak	VERB	1	tubitak	Education & Language	idioms
kemale ermek	VERB	1	literature	Education & Language	idioms
kemale gelmek	VERB	1	video	Education & Language	idioms
kemeri dolu olmak	VERB	1	tubitak	Education & Language	idioms
kemiğini kurutmak	VERB	1	video	Education & Language	idioms
kemikleri sızlamak	VERB	1	literature	Education & Language	idioms
kemlik etmek	VERB	1	meb	Personality, Values & Behavior	behavior
kenar gezmek	VERB	1	video	Education & Language	idioms
kendi havasında gitmek	VERB	1	video	Education & Language	idioms
kendi kendine gelin güveyi olmak	VERB	1	literature	Education & Language	idioms
kendi kendini didiklemek	VERB	1	literature	Education & Language	idioms
kendi keyfine gitmek	VERB	1	video	Education & Language	idioms
kendi köşesinde yaşamak	VERB	1	video	Education & Language	idioms
kendi kuyusunu kendi kazmak	VERB	1	video	Education & Language	idioms
kendi üstüne yormak	VERB	1	literature	Education & Language	idioms
kendine hisse çıkarmak	VERB	1	tubitak	Education & Language	idioms
kendine kıymak	VERB	1	literature	Violence & Conflict	violence
kendini ağırdan satmak	VERB	1	meb	Education & Language	idioms
kendini ateşe atmak	VERB	1	literature	Education & Language	idioms
kendini avutmak	VERB	1	literature	Education & Language	idioms
kendini dağıtmak	VERB	1	literature	Education & Language	idioms
kendini kapının dışında bulmak	VERB	1	video	Education & Language	idioms
kendini kapıp koyuvermek	VERB	1	literature	Education & Language	idioms
kendini matah sanmak	VERB	1	video	Education & Language	idioms
kendini naza çekmek	VERB	1	video	Education & Language	idioms
kendini tartmak	VERB	1	meb	Education & Language	idioms
kendini yoklamak	VERB	1	literature	Education & Language	idioms
keramet buyurdunuz	NA	1	video	Personality, Values & Behavior	behavior
keramette bulundunuz	NA	1	video	Personality, Values & Behavior	behavior
kerem buyurun	NA	1	literature	Education & Language	idioms
kerpiç dökmek	VERB	1	literature	Other	other
kertesine getirmek	VERB	1	literature	Education & Language	idioms
keseden yemek	VERB	1	tubitak	Work & Economy	financial concepts
kesenin dibi görünmek	VERB	1	literature	Work & Economy	financial concepts
kesesine bir şey girmek	VERB	1	tubitak	Work & Economy	financial concepts
kesesine göre	NA	1	tubitak	Work & Economy	financial concepts
kesesine güvenmek	VERB	1	tubitak	Work & Economy	financial concepts
keseye davranmak	VERB	1	literature	Work & Economy	financial concepts
kesip atmak	VERB	1	video	Education & Language	idioms
kesip biçmek	VERB	1	video	Education & Language	idioms
keskin zekâ	NOUN	1	literature	Emotions & Mental Processes	intelligence and reasoning
ketenpereye getirmek	VERB	1	literature	Education & Language	idioms
keyfi bozulmak	VERB	1	literature	Education & Language	idioms
keyfinden bayılmak	VERB	1	video	Education & Language	idioms
keyfine diyecek olmamak	VERB	1	video	Education & Language	idioms
keyiften dörtköşe olmak	VERB	1	literature	Education & Language	idioms
kibarlık taslamak	VERB	1	literature	Education & Language	idioms
kilimci ile kör hacı	NA	1	video	Education & Language	idioms
kilit kürek altına almak	VERB	1	video	Education & Language	idioms
kilometre yapmak	VERB	1	video	Transportation, Travel & Safety	travel
kin bağlamak	VERB	1	meb	Emotions & Mental Processes	emotions
kına koymak	VERB	1	literature	Education & Language	idioms
kına sürmek	VERB	1	literature	Education & Language	idioms
kına vurmak	VERB	1	literature	Education & Language	idioms
kına yakınmak	VERB	1	video	Education & Language	idioms
kıran kırana	NOUNJ	1	literature	Education & Language	idioms
kırık plak gibi	NA	1	video	Education & Language	idioms
kırılıp bükülmek	VERB	1	tubitak	Education & Language	idioms
kırılıp dökülmek	VERB	1	tubitak	Education & Language	idioms
kırk bir buçuk kere maşallah	NA	1	video	Education & Language	idioms
kısmet beklemek	VERB	1	meb	Education & Language	idioms
kısmeti bağlanmak	VERB	1	video	Education & Language	idioms
kısmeti kesilmek	VERB	1	literature	Education & Language	idioms
koçan bağlamak	VERB	1	literature	Education & Language	idioms
kodesi boylamak	VERB	1	video	Education & Language	idioms
kökü kazınmak	VERB	1	literature	Education & Language	idioms
köküne kibrit suyu	NA	1	literature	Education & Language	idioms
köküne kibrit suyu dökmek	VERB	1	literature	Education & Language	idioms
koltukları kabarmak	VERB	1	video	Education & Language	idioms
komplekse kapılmak	VERB	1	tubitak	Emotions & Mental Processes	emotions
